Bezig: 170 sec, ETA: 430 sec, Simulatie: 8000, Validation: 0.6, Beloning: 0, Batch Size 64, Epsilon: 0.3, ID: xffe3381e3, penalty: 0.3, loss: 1.14, aantal experiences: 100000
Bezig: 175 sec, ETA: 425 sec, Simulatie: 8250, Validation: 1.1, Beloning: 5, Batch Size 64, Epsilon: 0.29, ID: xfe61381a3, penalty: 0.1, loss: 0.87, aantal experiences: 100000
Bezig: 180 sec, ETA: 420 sec, Simulatie: 8500, Validation: 1.9, Beloning: -4, Batch Size 64, Epsilon: 0.28, ID: x7fc2781e1, penalty: 0.5, loss: 1.16, aantal experiences: 100000
Bezig: 184 sec, ETA: 416 sec, Simulatie: 8750, Validation: 1.5, Beloning: 4, Batch Size 64, Epsilon: 0.27, ID: xfba3781e3, penalty: 0.1, loss: 1.1, aantal experiences: 100000
Bezig: 189 sec, ETA: 411 sec, Simulatie: 9000, Validation: -6.1, Beloning: -2, Batch Size 64, Epsilon: 0.26, ID: xffe2381c1, penalty: 0.4, loss: 1.03, aantal experiences: 100000
Bezig: 194 sec, ETA: 406 sec, Simulatie: 9250, Validation: 3.6, Beloning: -2, Batch Size 64, Epsilon: 0.25, ID: xdee378e3, penalty: 0.4, loss: 1.23, aantal experiences: 100000
Bezig: 198 sec, ETA: 402 sec, Simulatie: 9500, Validation: 1.2, Beloning: 0, Batch Size 64, Epsilon: 0.24, ID: xffe3781e3, penalty: 0.3, loss: 0.93, aantal experiences: 100000
Bezig: 203 sec, ETA: 397 sec, Simulatie: 9750, Validation: 3.3, Beloning: 2, Batch Size 64, Epsilon: 0.23, ID: xffe3781e3, penalty: 0.2, loss: 0.71, aantal experiences: 100000
Bezig: 207 sec, ETA: 393 sec, Simulatie: 10000, Validation: 3.0, Beloning: 3, Batch Size 64, Epsilon: 0.22, ID: xffe3781e3, penalty: 0.2, loss: 0.81, aantal experiences: 100000
Bezig: 212 sec, ETA: 388 sec, Simulatie: 10250, Validation: 3.3, Beloning: 2, Batch Size 64, Epsilon: 0.21, ID: xfa2381e2, penalty: 0.4, loss: 0.77, aantal experiences: 100000
Bezig: 216 sec, ETA: 384 sec, Simulatie: 10500, Validation: 1.8, Beloning: -2, Batch Size 64, Epsilon: 0.21, ID: xf7a3581e, penalty: 0.4, loss: 0.8, aantal experiences: 100000
Bezig: 221 sec, ETA: 379 sec, Simulatie: 10750, Validation: 2.1, Beloning: 1, Batch Size 64, Epsilon: 0.2, ID: xffe351e1, penalty: 0.3, loss: 0.66, aantal experiences: 100000
Bezig: 225 sec, ETA: 375 sec, Simulatie: 11000, Validation: -2.0, Beloning: -2, Batch Size 64, Epsilon: 0.19, ID: xe7a378123, penalty: 0.6, loss: 0.81, aantal experiences: 100000
Bezig: 230 sec, ETA: 370 sec, Simulatie: 11250, Validation: 2.8, Beloning: 2, Batch Size 64, Epsilon: 0.18, ID: x412, penalty: 0.7, loss: 0.81, aantal experiences: 100000
Bezig: 234 sec, ETA: 366 sec, Simulatie: 11500, Validation: 3.7, Beloning: 1, Batch Size 64, Epsilon: 0.18, ID: x464, penalty: 0.8, loss: 0.89, aantal experiences: 100000
Bezig: 239 sec, ETA: 361 sec, Simulatie: 11750, Validation: 3.6, Beloning: 5, Batch Size 64, Epsilon: 0.17, ID: xffe1781e3, penalty: 0.1, loss: 0.74, aantal experiences: 100000
Bezig: 244 sec, ETA: 356 sec, Simulatie: 12000, Validation: 3.4, Beloning: -2, Batch Size 64, Epsilon: 0.17, ID: xbfe3781a1, penalty: 0.4, loss: 0.57, aantal experiences: 100000
Bezig: 248 sec, ETA: 352 sec, Simulatie: 12250, Validation: 3.4, Beloning: 3, Batch Size 64, Epsilon: 0.16, ID: x2212, penalty: 0.5, loss: 0.82, aantal experiences: 100000
Bezig: 253 sec, ETA: 347 sec, Simulatie: 12500, Validation: 3.6, Beloning: 4, Batch Size 64, Epsilon: 0.15, ID: xffe371e3, penalty: 0.1, loss: 0.75, aantal experiences: 100000
Bezig: 257 sec, ETA: 343 sec, Simulatie: 12750, Validation: 3.8, Beloning: 0, Batch Size 64, Epsilon: 0.15, ID: xffa3781e2, penalty: 0.3, loss: 0.65, aantal experiences: 100000
Bezig: 262 sec, ETA: 338 sec, Simulatie: 13000, Validation: 2.9, Beloning: 4, Batch Size 64, Epsilon: 0.14, ID: xffe3781e3, penalty: 0.2, loss: 0.76, aantal experiences: 100000
Bezig: 266 sec, ETA: 334 sec, Simulatie: 13250, Validation: 2.8, Beloning: 4, Batch Size 64, Epsilon: 0.14, ID: xffe3781e2, penalty: 0.1, loss: 0.68, aantal experiences: 100000
Bezig: 271 sec, ETA: 329 sec, Simulatie: 13500, Validation: 3.4, Beloning: 1, Batch Size 64, Epsilon: 0.13, ID: xefe368e2, penalty: 0.4, loss: 0.83, aantal experiences: 100000
Bezig: 276 sec, ETA: 324 sec, Simulatie: 13750, Validation: 3.8, Beloning: 3, Batch Size 64, Epsilon: 0.13, ID: xa22412, penalty: 0.5, loss: 0.58, aantal experiences: 100000
Bezig: 280 sec, ETA: 320 sec, Simulatie: 14000, Validation: 2.9, Beloning: 2, Batch Size 64, Epsilon: 0.12, ID: x11, penalty: 0.8, loss: 0.66, aantal experiences: 100000
Bezig: 285 sec, ETA: 315 sec, Simulatie: 14250, Validation: 2.5, Beloning: 2, Batch Size 64, Epsilon: 0.12, ID: x2682, penalty: 0.6, loss: 0.72, aantal experiences: 100000
Bezig: 289 sec, ETA: 311 sec, Simulatie: 14500, Validation: 2.7, Beloning: 4, Batch Size 64, Epsilon: 0.11, ID: x512, penalty: 0.6, loss: 0.65, aantal experiences: 100000
Bezig: 294 sec, ETA: 306 sec, Simulatie: 14750, Validation: 3.6, Beloning: -1, Batch Size 64, Epsilon: 0.11, ID: xffe271e2, penalty: 0.4, loss: 0.66, aantal experiences: 100000
Bezig: 298 sec, ETA: 302 sec, Simulatie: 15000, Validation: 2.7, Beloning: 3, Batch Size 64, Epsilon: 0.11, ID: x512, penalty: 0.5, loss: 0.51, aantal experiences: 100000
Bezig: 303 sec, ETA: 297 sec, Simulatie: 15250, Validation: 2.0, Beloning: 3, Batch Size 64, Epsilon: 0.1, ID: xff63781e3, penalty: 0.2, loss: 0.71, aantal experiences: 100000
Bezig: 308 sec, ETA: 292 sec, Simulatie: 15500, Validation: 3.3, Beloning: 2, Batch Size 64, Epsilon: 0.1, ID: x11212, penalty: 0.7, loss: 0.63, aantal experiences: 100000
Bezig: 312 sec, ETA: 288 sec, Simulatie: 15750, Validation: 3.4, Beloning: 2, Batch Size 64, Epsilon: 0.09, ID: x212, penalty: 0.8, loss: 0.6, aantal experiences: 100000
Bezig: 317 sec, ETA: 283 sec, Simulatie: 16000, Validation: 3.3, Beloning: 2, Batch Size 64, Epsilon: 0.09, ID: x482, penalty: 0.7, loss: 0.8, aantal experiences: 100000
Bezig: 321 sec, ETA: 279 sec, Simulatie: 16250, Validation: 1.9, Beloning: 2, Batch Size 64, Epsilon: 0.09, ID: x242, penalty: 0.6, loss: 0.72, aantal experiences: 100000
Bezig: 326 sec, ETA: 274 sec, Simulatie: 16500, Validation: 3.8, Beloning: 3, Batch Size 64, Epsilon: 0.08, ID: xffe3781e2, penalty: 0.2, loss: 0.8, aantal experiences: 100000
Bezig: 330 sec, ETA: 270 sec, Simulatie: 16750, Validation: 3.3, Beloning: 2, Batch Size 64, Epsilon: 0.08, ID: x21, penalty: 0.8, loss: 0.75, aantal experiences: 100000
Bezig: 335 sec, ETA: 265 sec, Simulatie: 17000, Validation: 3.8, Beloning: 0, Batch Size 64, Epsilon: 0.08, ID: xffe3581e1, penalty: 0.4, loss: 0.58, aantal experiences: 100000
Bezig: 339 sec, ETA: 261 sec, Simulatie: 17250, Validation: 3.3, Beloning: 1, Batch Size 64, Epsilon: 0.08, ID: xffe378142, penalty: 0.2, loss: 0.68, aantal experiences: 100000
Bezig: 344 sec, ETA: 256 sec, Simulatie: 17500, Validation: 3.1, Beloning: 1, Batch Size 64, Epsilon: 0.07, ID: xfbe3781e2, penalty: 0.3, loss: 0.76, aantal experiences: 100000
Bezig: 348 sec, ETA: 252 sec, Simulatie: 17750, Validation: 2.2, Beloning: 2, Batch Size 64, Epsilon: 0.07, ID: x1412, penalty: 0.6, loss: 0.61, aantal experiences: 100000
Bezig: 353 sec, ETA: 247 sec, Simulatie: 18000, Validation: 3.8, Beloning: 4, Batch Size 64, Epsilon: 0.07, ID: x412, penalty: 0.8, loss: 0.72, aantal experiences: 100000
Bezig: 357 sec, ETA: 243 sec, Simulatie: 18250, Validation: 3.8, Beloning: 4, Batch Size 64, Epsilon: 0.06, ID: x112, penalty: 0.7, loss: 0.78, aantal experiences: 100000
Bezig: 362 sec, ETA: 238 sec, Simulatie: 18500, Validation: 3.6, Beloning: 3, Batch Size 64, Epsilon: 0.06, ID: xffe378e2, penalty: 0.2, loss: 0.66, aantal experiences: 100000
Bezig: 367 sec, ETA: 233 sec, Simulatie: 18750, Validation: 3.6, Beloning: 3, Batch Size 64, Epsilon: 0.06, ID: xf411, penalty: 0.4, loss: 0.62, aantal experiences: 100000
Bezig: 371 sec, ETA: 229 sec, Simulatie: 19000, Validation: 3.8, Beloning: 3, Batch Size 64, Epsilon: 0.06, ID: x412, penalty: 0.6, loss: 0.6, aantal experiences: 100000
Bezig: 376 sec, ETA: 224 sec, Simulatie: 19250, Validation: 3.8, Beloning: 1, Batch Size 64, Epsilon: 0.06, ID: xf763781e2, penalty: 0.3, loss: 0.53, aantal experiences: 100000
