Bezig: 142 sec, ETA: 458 sec, Simulatie: 7750, Validation: 3.2, Cijfer: 4.7, Batch Size 64, Epsilon: 0.31, ID: x223, penalty: 0.4, loss: 0.68, aantal experiences: 100000
Bezig: 147 sec, ETA: 453 sec, Simulatie: 8000, Validation: 3.3, Cijfer: 1.7, Batch Size 64, Epsilon: 0.3, ID: x112143, penalty: 0.5, loss: 0.57, aantal experiences: 100000
Bezig: 151 sec, ETA: 449 sec, Simulatie: 8250, Validation: 3.3, Cijfer: 3.6, Batch Size 64, Epsilon: 0.29, ID: x2214, penalty: 0.5, loss: 0.84, aantal experiences: 100000
Bezig: 156 sec, ETA: 444 sec, Simulatie: 8500, Validation: 3.3, Cijfer: 3.3, Batch Size 64, Epsilon: 0.28, ID: x28112, penalty: 0.5, loss: 0.61, aantal experiences: 100000
Bezig: 161 sec, ETA: 439 sec, Simulatie: 8750, Validation: 2.2, Cijfer: 4.7, Batch Size 64, Epsilon: 0.27, ID: x21883, penalty: 0.3, loss: 0.38, aantal experiences: 100000
Bezig: 165 sec, ETA: 435 sec, Simulatie: 9000, Validation: 2.9, Cijfer: 3.6, Batch Size 64, Epsilon: 0.26, ID: x2281, penalty: 0.1, loss: 0.48, aantal experiences: 100000
Bezig: 170 sec, ETA: 430 sec, Simulatie: 9250, Validation: 2.9, Cijfer: 2.8, Batch Size 64, Epsilon: 0.25, ID: x82582, penalty: 0.4, loss: 0.45, aantal experiences: 100000
Bezig: 174 sec, ETA: 426 sec, Simulatie: 9500, Validation: 3.1, Cijfer: 3.1, Batch Size 64, Epsilon: 0.24, ID: x482542, penalty: 0.3, loss: 0.29, aantal experiences: 100000
Bezig: 179 sec, ETA: 421 sec, Simulatie: 9750, Validation: 3.3, Cijfer: 4.3, Batch Size 64, Epsilon: 0.23, ID: x2212, penalty: 0.1, loss: 0.43, aantal experiences: 100000
Bezig: 184 sec, ETA: 416 sec, Simulatie: 10000, Validation: 3.2, Cijfer: 1.9, Batch Size 64, Epsilon: 0.22, ID: x81222, penalty: 0.7, loss: 0.28, aantal experiences: 100000
Bezig: 188 sec, ETA: 412 sec, Simulatie: 10250, Validation: 3.0, Cijfer: 2.6, Batch Size 64, Epsilon: 0.21, ID: x24412, penalty: 0.6, loss: 0.27, aantal experiences: 100000
Bezig: 193 sec, ETA: 407 sec, Simulatie: 10500, Validation: 3.2, Cijfer: 3.3, Batch Size 64, Epsilon: 0.21, ID: x81, penalty: 0.6, loss: 0.35, aantal experiences: 100000
Bezig: 198 sec, ETA: 402 sec, Simulatie: 10750, Validation: 3.6, Cijfer: 3.8, Batch Size 64, Epsilon: 0.2, ID: x42883, penalty: 0.4, loss: 0.3, aantal experiences: 100000
Bezig: 202 sec, ETA: 398 sec, Simulatie: 11000, Validation: 3.5, Cijfer: 3.1, Batch Size 64, Epsilon: 0.19, ID: x2482, penalty: 0.7, loss: 0.34, aantal experiences: 100000
Bezig: 207 sec, ETA: 393 sec, Simulatie: 11250, Validation: 3.6, Cijfer: 2.7, Batch Size 64, Epsilon: 0.18, ID: x112, penalty: 0.7, loss: 0.39, aantal experiences: 100000
Bezig: 211 sec, ETA: 389 sec, Simulatie: 11500, Validation: 2.6, Cijfer: 3.7, Batch Size 64, Epsilon: 0.18, ID: x844, penalty: 0.5, loss: 0.27, aantal experiences: 100000
Bezig: 216 sec, ETA: 384 sec, Simulatie: 11750, Validation: 3.6, Cijfer: 4.8, Batch Size 64, Epsilon: 0.17, ID: x4412, penalty: 0.1, loss: 0.35, aantal experiences: 100000
Bezig: 221 sec, ETA: 379 sec, Simulatie: 12000, Validation: 3.3, Cijfer: 2.8, Batch Size 64, Epsilon: 0.17, ID: x28412, penalty: 0.7, loss: 0.37, aantal experiences: 100000
Bezig: 225 sec, ETA: 375 sec, Simulatie: 12250, Validation: 3.4, Cijfer: 6.8, Batch Size 64, Epsilon: 0.16, ID: x12482, penalty: 0.2, loss: 0.32, aantal experiences: 100000
Bezig: 230 sec, ETA: 370 sec, Simulatie: 12500, Validation: 3.6, Cijfer: 3.4, Batch Size 64, Epsilon: 0.15, ID: x42182, penalty: 0.7, loss: 0.24, aantal experiences: 100000
Bezig: 234 sec, ETA: 366 sec, Simulatie: 12750, Validation: 2.5, Cijfer: 4.6, Batch Size 64, Epsilon: 0.15, ID: x24182, penalty: 0.2, loss: 0.32, aantal experiences: 100000
Bezig: 239 sec, ETA: 361 sec, Simulatie: 13000, Validation: 3.6, Cijfer: 5.8, Batch Size 64, Epsilon: 0.14, ID: x426142, penalty: 0.3, loss: 0.2, aantal experiences: 100000
Bezig: 243 sec, ETA: 357 sec, Simulatie: 13250, Validation: 3.7, Cijfer: 3.9, Batch Size 64, Epsilon: 0.14, ID: x8248, penalty: 0.4, loss: 0.25, aantal experiences: 100000
Bezig: 248 sec, ETA: 352 sec, Simulatie: 13500, Validation: 3.5, Cijfer: 3.2, Batch Size 64, Epsilon: 0.13, ID: xc81, penalty: 0.6, loss: 0.27, aantal experiences: 100000
Bezig: 253 sec, ETA: 347 sec, Simulatie: 13750, Validation: 2.8, Cijfer: 2.6, Batch Size 64, Epsilon: 0.13, ID: x212, penalty: 0.4, loss: 0.31, aantal experiences: 100000
Bezig: 257 sec, ETA: 343 sec, Simulatie: 14000, Validation: 3.6, Cijfer: 4.5, Batch Size 64, Epsilon: 0.12, ID: x2412, penalty: 0.2, loss: 0.25, aantal experiences: 100000
Bezig: 262 sec, ETA: 338 sec, Simulatie: 14250, Validation: 3.3, Cijfer: 6.7, Batch Size 64, Epsilon: 0.12, ID: xa1412, penalty: 0.2, loss: 0.26, aantal experiences: 100000
Bezig: 266 sec, ETA: 334 sec, Simulatie: 14500, Validation: 3.5, Cijfer: 5.7, Batch Size 64, Epsilon: 0.11, ID: x12212, penalty: 0.4, loss: 0.22, aantal experiences: 100000
Bezig: 271 sec, ETA: 329 sec, Simulatie: 14750, Validation: 3.7, Cijfer: 2.7, Batch Size 64, Epsilon: 0.11, ID: x2412, penalty: 0.4, loss: 0.23, aantal experiences: 100000
Bezig: 275 sec, ETA: 325 sec, Simulatie: 15000, Validation: 3.7, Cijfer: 3.5, Batch Size 64, Epsilon: 0.11, ID: x212, penalty: 0.3, loss: 0.28, aantal experiences: 100000
Bezig: 280 sec, ETA: 320 sec, Simulatie: 15250, Validation: 3.6, Cijfer: 3.6, Batch Size 64, Epsilon: 0.1, ID: x2682, penalty: 0.8, loss: 0.24, aantal experiences: 100000
