Bezig: 155 sec, ETA: 445 sec, Simulatie: 7750, Validation: 2.1, Beloning: 1, Batch Size 64, Epsilon: 0.31, ID: x979591319419, penalty: 0.3, loss: 0.78, aantal experiences: 100000
Bezig: 160 sec, ETA: 440 sec, Simulatie: 8000, Validation: 3.4, Beloning: 3, Batch Size 64, Epsilon: 0.3, ID: x47b994b97221, penalty: 0.2, loss: 0.62, aantal experiences: 100000
Bezig: 165 sec, ETA: 435 sec, Simulatie: 8250, Validation: 1.8, Beloning: -5, Batch Size 64, Epsilon: 0.29, ID: xfffb954584, penalty: 0.5, loss: 1.44, aantal experiences: 100000
Bezig: 170 sec, ETA: 430 sec, Simulatie: 8500, Validation: 2.1, Beloning: 2, Batch Size 64, Epsilon: 0.28, ID: x84129, penalty: 0.7, loss: 0.85, aantal experiences: 100000
Bezig: 175 sec, ETA: 425 sec, Simulatie: 8750, Validation: 2.7, Beloning: 3, Batch Size 64, Epsilon: 0.27, ID: xef82341d2113, penalty: 0.3, loss: 0.97, aantal experiences: 100000
Bezig: 180 sec, ETA: 420 sec, Simulatie: 9000, Validation: 2.2, Beloning: -2, Batch Size 64, Epsilon: 0.26, ID: xf778d834719, penalty: 0.3, loss: 0.89, aantal experiences: 100000
Bezig: 185 sec, ETA: 415 sec, Simulatie: 9250, Validation: 2.4, Beloning: 4, Batch Size 64, Epsilon: 0.25, ID: x828181, penalty: 0.5, loss: 0.8, aantal experiences: 100000
Bezig: 190 sec, ETA: 410 sec, Simulatie: 9500, Validation: -6.2, Beloning: -5, Batch Size 64, Epsilon: 0.24, ID: xefd342634d, penalty: 0.6, loss: 0.85, aantal experiences: 100000
Bezig: 195 sec, ETA: 405 sec, Simulatie: 9750, Validation: 2.3, Beloning: 4, Batch Size 64, Epsilon: 0.23, ID: xf7aa52232939, penalty: 0.2, loss: 0.71, aantal experiences: 100000
Bezig: 200 sec, ETA: 400 sec, Simulatie: 10000, Validation: 3.2, Beloning: -3, Batch Size 64, Epsilon: 0.22, ID: xfef49238729, penalty: 0.5, loss: 0.8, aantal experiences: 100000
Bezig: 205 sec, ETA: 395 sec, Simulatie: 10250, Validation: 2.8, Beloning: 3, Batch Size 64, Epsilon: 0.21, ID: x81, penalty: 0.8, loss: 0.83, aantal experiences: 100000
Bezig: 210 sec, ETA: 390 sec, Simulatie: 10500, Validation: 3.8, Beloning: 0, Batch Size 64, Epsilon: 0.21, ID: xfbf29319a1196, penalty: 0.2, loss: 1.13, aantal experiences: 100000
Bezig: 215 sec, ETA: 385 sec, Simulatie: 10750, Validation: 3.4, Beloning: -3, Batch Size 64, Epsilon: 0.2, ID: x7bfd41d1d17, penalty: 0.4, loss: 0.89, aantal experiences: 100000
Bezig: 220 sec, ETA: 380 sec, Simulatie: 11000, Validation: 2.0, Beloning: 1, Batch Size 64, Epsilon: 0.19, ID: xbfa1b51545, penalty: 0.3, loss: 0.67, aantal experiences: 100000
Bezig: 225 sec, ETA: 375 sec, Simulatie: 11250, Validation: 1.7, Beloning: 2, Batch Size 64, Epsilon: 0.18, ID: x4142347174, penalty: 0.4, loss: 0.9, aantal experiences: 100000
Bezig: 230 sec, ETA: 370 sec, Simulatie: 11500, Validation: 3.2, Beloning: -4, Batch Size 64, Epsilon: 0.18, ID: x7ff4bcb13289, penalty: 0.4, loss: 0.83, aantal experiences: 100000
Bezig: 235 sec, ETA: 365 sec, Simulatie: 11750, Validation: 2.7, Beloning: -5, Batch Size 64, Epsilon: 0.17, ID: xfff4d255b4, penalty: 0.5, loss: 0.59, aantal experiences: 100000
Bezig: 240 sec, ETA: 360 sec, Simulatie: 12000, Validation: 3.2, Beloning: -2, Batch Size 64, Epsilon: 0.17, ID: xfdf1191d4517, penalty: 0.3, loss: 0.82, aantal experiences: 100000
Bezig: 244 sec, ETA: 356 sec, Simulatie: 12250, Validation: 3.4, Beloning: 5, Batch Size 64, Epsilon: 0.16, ID: xfff2323587, penalty: 0.2, loss: 0.8, aantal experiences: 100000
Bezig: 249 sec, ETA: 351 sec, Simulatie: 12500, Validation: 3.1, Beloning: 1, Batch Size 64, Epsilon: 0.15, ID: xfef8911315, penalty: 0.4, loss: 0.8, aantal experiences: 100000
Bezig: 254 sec, ETA: 346 sec, Simulatie: 12750, Validation: 2.9, Beloning: -2, Batch Size 64, Epsilon: 0.15, ID: x7ff4315117, penalty: 0.4, loss: 0.68, aantal experiences: 100000
Bezig: 259 sec, ETA: 341 sec, Simulatie: 13000, Validation: 3.5, Beloning: 1, Batch Size 64, Epsilon: 0.14, ID: xfff18178c15, penalty: 0.3, loss: 0.85, aantal experiences: 100000
Bezig: 264 sec, ETA: 336 sec, Simulatie: 13250, Validation: 3.3, Beloning: 4, Batch Size 64, Epsilon: 0.14, ID: xffe1551d11, penalty: 0.1, loss: 0.59, aantal experiences: 100000
Bezig: 269 sec, ETA: 331 sec, Simulatie: 13500, Validation: 3.3, Beloning: 1, Batch Size 64, Epsilon: 0.13, ID: xfff219d14419, penalty: 0.2, loss: 0.77, aantal experiences: 100000
Bezig: 274 sec, ETA: 326 sec, Simulatie: 13750, Validation: 0.6, Beloning: 2, Batch Size 64, Epsilon: 0.13, ID: xbffc258914, penalty: 0.2, loss: 0.86, aantal experiences: 100000
Bezig: 279 sec, ETA: 321 sec, Simulatie: 14000, Validation: -3.7, Beloning: -6, Batch Size 64, Epsilon: 0.12, ID: xfff4195514, penalty: 0.6, loss: 0.73, aantal experiences: 100000
Bezig: 284 sec, ETA: 316 sec, Simulatie: 14250, Validation: -1.6, Beloning: -4, Batch Size 64, Epsilon: 0.12, ID: xdff458b, penalty: 0.7, loss: 0.64, aantal experiences: 100000
Bezig: 289 sec, ETA: 311 sec, Simulatie: 14500, Validation: 2.0, Beloning: -3, Batch Size 64, Epsilon: 0.11, ID: xfff1625, penalty: 0.5, loss: 0.95, aantal experiences: 100000
Bezig: 294 sec, ETA: 306 sec, Simulatie: 14750, Validation: -3.3, Beloning: 0, Batch Size 64, Epsilon: 0.11, ID: xfff1831141d19, penalty: 0.2, loss: 0.83, aantal experiences: 100000
Bezig: 299 sec, ETA: 301 sec, Simulatie: 15000, Validation: -7.4, Beloning: -5, Batch Size 64, Epsilon: 0.11, ID: xf7b831d277, penalty: 0.6, loss: 0.69, aantal experiences: 100000
Bezig: 304 sec, ETA: 296 sec, Simulatie: 15250, Validation: -3.3, Beloning: 6, Batch Size 64, Epsilon: 0.1, ID: xbff232c2533, penalty: 0.1, loss: 0.77, aantal experiences: 100000
Bezig: 309 sec, ETA: 291 sec, Simulatie: 15500, Validation: -1.8, Beloning: -3, Batch Size 64, Epsilon: 0.1, ID: xffd8d8751719, penalty: 0.4, loss: 0.54, aantal experiences: 100000
Bezig: 314 sec, ETA: 286 sec, Simulatie: 15750, Validation: -7.4, Beloning: 0, Batch Size 64, Epsilon: 0.09, ID: xfff2234933, penalty: 0.4, loss: 0.62, aantal experiences: 100000
Bezig: 319 sec, ETA: 281 sec, Simulatie: 16000, Validation: -2.3, Beloning: 2, Batch Size 64, Epsilon: 0.09, ID: xfff2126192387, penalty: 0.2, loss: 0.55, aantal experiences: 100000
Bezig: 324 sec, ETA: 276 sec, Simulatie: 16250, Validation: -5.1, Beloning: -5, Batch Size 64, Epsilon: 0.09, ID: xfff1b291c, penalty: 0.6, loss: 0.59, aantal experiences: 100000
Bezig: 329 sec, ETA: 271 sec, Simulatie: 16500, Validation: -2.6, Beloning: -4, Batch Size 64, Epsilon: 0.08, ID: xfff24584, penalty: 0.6, loss: 0.6, aantal experiences: 100000
Bezig: 334 sec, ETA: 266 sec, Simulatie: 16750, Validation: -5.8, Beloning: 2, Batch Size 64, Epsilon: 0.08, ID: xfff435941781b, penalty: 0.2, loss: 0.55, aantal experiences: 100000
Bezig: 339 sec, ETA: 261 sec, Simulatie: 17000, Validation: -6.7, Beloning: -9, Batch Size 64, Epsilon: 0.08, ID: xfff833d15, penalty: 0.7, loss: 0.65, aantal experiences: 100000
Bezig: 344 sec, ETA: 256 sec, Simulatie: 17250, Validation: -6.4, Beloning: -5, Batch Size 64, Epsilon: 0.08, ID: xfff8178171d43, penalty: 0.4, loss: 0.72, aantal experiences: 100000
Bezig: 349 sec, ETA: 251 sec, Simulatie: 17500, Validation: -5.9, Beloning: 1, Batch Size 64, Epsilon: 0.07, ID: xfff12b18b87c9, penalty: 0.2, loss: 0.77, aantal experiences: 100000
Bezig: 354 sec, ETA: 246 sec, Simulatie: 17750, Validation: -1.6, Beloning: 2, Batch Size 64, Epsilon: 0.07, ID: xfff5d432363, penalty: 0.2, loss: 0.95, aantal experiences: 100000
Bezig: 359 sec, ETA: 241 sec, Simulatie: 18000, Validation: -7.4, Beloning: -1, Batch Size 64, Epsilon: 0.07, ID: xffe1311b5327, penalty: 0.3, loss: 0.43, aantal experiences: 100000
Bezig: 364 sec, ETA: 236 sec, Simulatie: 18250, Validation: -6.9, Beloning: -2, Batch Size 64, Epsilon: 0.06, ID: xfff2132941b195, penalty: 0.4, loss: 0.58, aantal experiences: 100000
Bezig: 369 sec, ETA: 231 sec, Simulatie: 18500, Validation: -6.5, Beloning: 4, Batch Size 64, Epsilon: 0.06, ID: xfff1b84155819, penalty: 0.1, loss: 0.77, aantal experiences: 100000
Bezig: 374 sec, ETA: 226 sec, Simulatie: 18750, Validation: -5.3, Beloning: -5, Batch Size 64, Epsilon: 0.06, ID: xfff41d, penalty: 0.7, loss: 0.66, aantal experiences: 100000
Bezig: 379 sec, ETA: 221 sec, Simulatie: 19000, Validation: -6.4, Beloning: 3, Batch Size 64, Epsilon: 0.06, ID: xfff2d4125119, penalty: 0.2, loss: 0.87, aantal experiences: 100000
Bezig: 384 sec, ETA: 216 sec, Simulatie: 19250, Validation: -5.3, Beloning: -5, Batch Size 64, Epsilon: 0.06, ID: xfff3d1d4, penalty: 0.5, loss: 0.42, aantal experiences: 100000
Bezig: 389 sec, ETA: 211 sec, Simulatie: 19500, Validation: -6.7, Beloning: 2, Batch Size 64, Epsilon: 0.05, ID: xfff8234d2717, penalty: 0.2, loss: 0.89, aantal experiences: 100000
Bezig: 394 sec, ETA: 206 sec, Simulatie: 19750, Validation: -7.4, Beloning: -6, Batch Size 64, Epsilon: 0.05, ID: xdff55c1, penalty: 0.8, loss: 0.53, aantal experiences: 100000
Bezig: 399 sec, ETA: 201 sec, Simulatie: 20000, Validation: -7.4, Beloning: -4, Batch Size 64, Epsilon: 0.05, ID: xffd8155123, penalty: 0.6, loss: 0.57, aantal experiences: 100000
Bezig: 404 sec, ETA: 196 sec, Simulatie: 20250, Validation: -5.7, Beloning: -6, Batch Size 64, Epsilon: 0.05, ID: xfffb1925, penalty: 0.6, loss: 0.41, aantal experiences: 100000
Bezig: 409 sec, ETA: 191 sec, Simulatie: 20500, Validation: -7.4, Beloning: -5, Batch Size 64, Epsilon: 0.05, ID: xffd8978515, penalty: 0.5, loss: 0.49, aantal experiences: 100000
Bezig: 414 sec, ETA: 186 sec, Simulatie: 20750, Validation: -3.8, Beloning: -2, Batch Size 64, Epsilon: 0.04, ID: xfff88da942d, penalty: 0.3, loss: 0.59, aantal experiences: 100000
Bezig: 419 sec, ETA: 181 sec, Simulatie: 21000, Validation: -4.5, Beloning: -6, Batch Size 64, Epsilon: 0.04, ID: xfff2589, penalty: 0.7, loss: 0.82, aantal experiences: 100000
Bezig: 424 sec, ETA: 176 sec, Simulatie: 21250, Validation: -5.9, Beloning: -7, Batch Size 64, Epsilon: 0.04, ID: xfff, penalty: 0.8, loss: 0.45, aantal experiences: 100000
Bezig: 429 sec, ETA: 171 sec, Simulatie: 21500, Validation: -5.9, Beloning: -7, Batch Size 64, Epsilon: 0.04, ID: xfff431331d, penalty: 0.7, loss: 0.71, aantal experiences: 100000
Bezig: 434 sec, ETA: 166 sec, Simulatie: 21750, Validation: -5.5, Beloning: -4, Batch Size 64, Epsilon: 0.04, ID: xfff, penalty: 0.5, loss: 0.78, aantal experiences: 100000
Bezig: 439 sec, ETA: 161 sec, Simulatie: 22000, Validation: -3.3, Beloning: -7, Batch Size 64, Epsilon: 0.04, ID: xfff8381d81d, penalty: 0.6, loss: 0.84, aantal experiences: 100000
Bezig: 444 sec, ETA: 156 sec, Simulatie: 22250, Validation: -7.4, Beloning: -1, Batch Size 64, Epsilon: 0.04, ID: xfff8945431, penalty: 0.4, loss: 0.56, aantal experiences: 100000
Bezig: 449 sec, ETA: 151 sec, Simulatie: 22500, Validation: -5.9, Beloning: -2, Batch Size 64, Epsilon: 0.03, ID: xf8, penalty: 0.8, loss: 0.56, aantal experiences: 100000
Bezig: 454 sec, ETA: 146 sec, Simulatie: 22750, Validation: -5.9, Beloning: 1, Batch Size 64, Epsilon: 0.03, ID: xe8, penalty: 0.6, loss: 0.46, aantal experiences: 100000
Bezig: 459 sec, ETA: 141 sec, Simulatie: 23000, Validation: -7.4, Beloning: -5, Batch Size 64, Epsilon: 0.03, ID: xfff49b1d, penalty: 0.6, loss: 0.5, aantal experiences: 100000
Bezig: 464 sec, ETA: 136 sec, Simulatie: 23250, Validation: -5.9, Beloning: -5, Batch Size 64, Epsilon: 0.03, ID: x7ff8541, penalty: 0.7, loss: 0.83, aantal experiences: 100000
Bezig: 469 sec, ETA: 131 sec, Simulatie: 23500, Validation: -7.4, Beloning: 0, Batch Size 64, Epsilon: 0.03, ID: xe, penalty: 0.7, loss: 0.57, aantal experiences: 100000
Bezig: 474 sec, ETA: 126 sec, Simulatie: 23750, Validation: -5.9, Beloning: 2, Batch Size 64, Epsilon: 0.03, ID: xfff91b1715857, penalty: 0.2, loss: 0.58, aantal experiences: 100000
Bezig: 479 sec, ETA: 121 sec, Simulatie: 24000, Validation: -6.6, Beloning: -7, Batch Size 64, Epsilon: 0.03, ID: xfffa1b53559, penalty: 0.5, loss: 0.34, aantal experiences: 100000
Bezig: 484 sec, ETA: 116 sec, Simulatie: 24250, Validation: -7.4, Beloning: -2, Batch Size 64, Epsilon: 0.03, ID: xfff4172713, penalty: 0.3, loss: 0.5, aantal experiences: 100000
Bezig: 489 sec, ETA: 111 sec, Simulatie: 24500, Validation: -7.4, Beloning: 0, Batch Size 64, Epsilon: 0.03, ID: xfff2929b417, penalty: 0.3, loss: 0.69, aantal experiences: 100000
Bezig: 494 sec, ETA: 106 sec, Simulatie: 24750, Validation: -7.4, Beloning: -2, Batch Size 64, Epsilon: 0.02, ID: xfff8475d85, penalty: 0.4, loss: 0.42, aantal experiences: 100000
Bezig: 499 sec, ETA: 101 sec, Simulatie: 25000, Validation: -7.4, Beloning: -8, Batch Size 64, Epsilon: 0.02, ID: xffec1747, penalty: 0.7, loss: 0.46, aantal experiences: 100000
Bezig: 504 sec, ETA: 96 sec, Simulatie: 25250, Validation: -5.9, Beloning: -10, Batch Size 64, Epsilon: 0.02, ID: xfff2178d, penalty: 0.8, loss: 0.45, aantal experiences: 100000
Bezig: 509 sec, ETA: 91 sec, Simulatie: 25500, Validation: -7.4, Beloning: -3, Batch Size 64, Epsilon: 0.02, ID: xfff879b8c, penalty: 0.4, loss: 0.4, aantal experiences: 100000
Bezig: 514 sec, ETA: 86 sec, Simulatie: 25750, Validation: -6.4, Beloning: -5, Batch Size 64, Epsilon: 0.02, ID: xfff231511721, penalty: 0.5, loss: 0.48, aantal experiences: 100000
Bezig: 519 sec, ETA: 81 sec, Simulatie: 26000, Validation: -7.4, Beloning: -1, Batch Size 64, Epsilon: 0.02, ID: xfff517b7951, penalty: 0.2, loss: 0.32, aantal experiences: 100000
Bezig: 524 sec, ETA: 76 sec, Simulatie: 26250, Validation: -7.4, Beloning: -6, Batch Size 64, Epsilon: 0.02, ID: xfff5397818, penalty: 0.5, loss: 0.53, aantal experiences: 100000
Bezig: 529 sec, ETA: 71 sec, Simulatie: 26500, Validation: -7.4, Beloning: 4, Batch Size 64, Epsilon: 0.02, ID: xfff3d8152, penalty: 0.1, loss: 0.29, aantal experiences: 100000
Bezig: 534 sec, ETA: 66 sec, Simulatie: 26750, Validation: -7.4, Beloning: -4, Batch Size 64, Epsilon: 0.02, ID: xfff9545818, penalty: 0.5, loss: 0.41, aantal experiences: 100000
