Bezig: 168 sec, ETA: 951 sec, Simulatie: 7500, Validation: 1.9, Cijfer: 2.4, Batch Size 64, Epsilon: 0.32, ID: x44311, penalty: 0.5, loss: 0.65, aantal experiences: 100000
Bezig: 173 sec, ETA: 942 sec, Simulatie: 7750, Validation: 2.8, Cijfer: 2.4, Batch Size 64, Epsilon: 0.31, ID: x2842, penalty: 0.7, loss: 0.62, aantal experiences: 100000
Bezig: 178 sec, ETA: 934 sec, Simulatie: 8000, Validation: 2.4, Cijfer: 0.2, Batch Size 64, Epsilon: 0.3, ID: x432157, penalty: 0.5, loss: 0.48, aantal experiences: 100000
Bezig: 183 sec, ETA: 926 sec, Simulatie: 8250, Validation: 3.0, Cijfer: 4.4, Batch Size 64, Epsilon: 0.29, ID: x221112, penalty: 0.2, loss: 1.74, aantal experiences: 100000
Bezig: 188 sec, ETA: 917 sec, Simulatie: 8500, Validation: 3.1, Cijfer: 2.9, Batch Size 64, Epsilon: 0.28, ID: x84211, penalty: 0.7, loss: 0.56, aantal experiences: 100000
Bezig: 193 sec, ETA: 909 sec, Simulatie: 8750, Validation: 2.3, Cijfer: 1.6, Batch Size 64, Epsilon: 0.27, ID: x1193, penalty: 0.8, loss: 0.74, aantal experiences: 100000
Bezig: 198 sec, ETA: 901 sec, Simulatie: 9000, Validation: 3.2, Cijfer: 2.1, Batch Size 64, Epsilon: 0.26, ID: x22211, penalty: 0.8, loss: 1.21, aantal experiences: 100000
Bezig: 203 sec, ETA: 894 sec, Simulatie: 9250, Validation: 3.2, Cijfer: 2.3, Batch Size 64, Epsilon: 0.25, ID: xd18282, penalty: 0.7, loss: 1.25, aantal experiences: 100000
Bezig: 208 sec, ETA: 886 sec, Simulatie: 9500, Validation: 3.4, Cijfer: 4.9, Batch Size 64, Epsilon: 0.24, ID: x121381, penalty: 0.4, loss: 0.63, aantal experiences: 100000
Bezig: 213 sec, ETA: 878 sec, Simulatie: 9750, Validation: 2.8, Cijfer: 0.6, Batch Size 64, Epsilon: 0.23, ID: x219146, penalty: 0.8, loss: 0.69, aantal experiences: 100000
Bezig: 218 sec, ETA: 871 sec, Simulatie: 10000, Validation: 3.6, Cijfer: 4.4, Batch Size 64, Epsilon: 0.22, ID: x4113481, penalty: 0.3, loss: 0.41, aantal experiences: 100000
Bezig: 223 sec, ETA: 864 sec, Simulatie: 10250, Validation: 2.5, Cijfer: 1.5, Batch Size 64, Epsilon: 0.21, ID: x48154, penalty: 0.6, loss: 1.28, aantal experiences: 100000
Bezig: 228 sec, ETA: 856 sec, Simulatie: 10500, Validation: 3.0, Cijfer: 4.5, Batch Size 64, Epsilon: 0.21, ID: x8114d, penalty: 0.2, loss: 0.46, aantal experiences: 100000
Bezig: 232 sec, ETA: 849 sec, Simulatie: 10750, Validation: 3.6, Cijfer: 4.9, Batch Size 64, Epsilon: 0.2, ID: x418225, penalty: 0.1, loss: 0.43, aantal experiences: 100000
Bezig: 237 sec, ETA: 842 sec, Simulatie: 11000, Validation: 3.4, Cijfer: 5.5, Batch Size 64, Epsilon: 0.19, ID: x44e1889, penalty: 0.2, loss: 0.3, aantal experiences: 100000
Bezig: 242 sec, ETA: 835 sec, Simulatie: 11250, Validation: 2.4, Cijfer: 5.2, Batch Size 64, Epsilon: 0.18, ID: x24491, penalty: 0.3, loss: 0.34, aantal experiences: 100000
Bezig: 247 sec, ETA: 829 sec, Simulatie: 11500, Validation: 3.8, Cijfer: 5.5, Batch Size 64, Epsilon: 0.18, ID: x1411c23, penalty: 0.2, loss: 0.25, aantal experiences: 100000
Bezig: 252 sec, ETA: 822 sec, Simulatie: 11750, Validation: 3.5, Cijfer: 3.9, Batch Size 64, Epsilon: 0.17, ID: x111385, penalty: 0.4, loss: 0.34, aantal experiences: 100000
Bezig: 257 sec, ETA: 815 sec, Simulatie: 12000, Validation: 3.8, Cijfer: 6.5, Batch Size 64, Epsilon: 0.17, ID: x1144d27, penalty: 0.1, loss: 0.26, aantal experiences: 100000
Bezig: 262 sec, ETA: 808 sec, Simulatie: 12250, Validation: 3.8, Cijfer: 5.1, Batch Size 64, Epsilon: 0.16, ID: x481211, penalty: 0.5, loss: 0.25, aantal experiences: 100000
Bezig: 267 sec, ETA: 802 sec, Simulatie: 12500, Validation: 3.6, Cijfer: 1.5, Batch Size 64, Epsilon: 0.15, ID: x14821, penalty: 0.8, loss: 0.21, aantal experiences: 100000
Bezig: 272 sec, ETA: 795 sec, Simulatie: 12750, Validation: 3.8, Cijfer: 4.8, Batch Size 64, Epsilon: 0.15, ID: x4241, penalty: 0.4, loss: 0.19, aantal experiences: 100000
Bezig: 277 sec, ETA: 789 sec, Simulatie: 13000, Validation: 3.8, Cijfer: 2.7, Batch Size 64, Epsilon: 0.14, ID: x221248, penalty: 0.7, loss: 0.2, aantal experiences: 100000
Bezig: 282 sec, ETA: 782 sec, Simulatie: 13250, Validation: 3.2, Cijfer: 4.1, Batch Size 64, Epsilon: 0.14, ID: x2844, penalty: 0.5, loss: 0.22, aantal experiences: 100000
Bezig: 287 sec, ETA: 777 sec, Simulatie: 13500, Validation: 3.1, Cijfer: 3.5, Batch Size 64, Epsilon: 0.13, ID: x4121213, penalty: 0.5, loss: 0.22, aantal experiences: 100000
Bezig: 292 sec, ETA: 770 sec, Simulatie: 13750, Validation: 3.8, Cijfer: 6.3, Batch Size 64, Epsilon: 0.13, ID: x121183, penalty: 0.3, loss: 0.28, aantal experiences: 100000
Bezig: 297 sec, ETA: 764 sec, Simulatie: 14000, Validation: 2.0, Cijfer: 3.5, Batch Size 64, Epsilon: 0.12, ID: x18, penalty: 0.7, loss: 0.17, aantal experiences: 100000
Bezig: 302 sec, ETA: 758 sec, Simulatie: 14250, Validation: 2.9, Cijfer: 4.2, Batch Size 64, Epsilon: 0.12, ID: x8a12, penalty: 0.4, loss: 0.15, aantal experiences: 100000
Bezig: 307 sec, ETA: 752 sec, Simulatie: 14500, Validation: 3.4, Cijfer: 3.5, Batch Size 64, Epsilon: 0.11, ID: x122, penalty: 0.6, loss: 0.2, aantal experiences: 100000
Bezig: 312 sec, ETA: 746 sec, Simulatie: 14750, Validation: 3.8, Cijfer: 3.6, Batch Size 64, Epsilon: 0.11, ID: x14441, penalty: 0.8, loss: 0.18, aantal experiences: 100000
Bezig: 317 sec, ETA: 740 sec, Simulatie: 15000, Validation: 3.6, Cijfer: 3.0, Batch Size 64, Epsilon: 0.11, ID: x2184, penalty: 0.7, loss: 0.21, aantal experiences: 100000
Bezig: 322 sec, ETA: 734 sec, Simulatie: 15250, Validation: 3.4, Cijfer: 0.6, Batch Size 64, Epsilon: 0.1, ID: x241544, penalty: 0.6, loss: 0.19, aantal experiences: 100000
Bezig: 327 sec, ETA: 728 sec, Simulatie: 15500, Validation: 3.5, Cijfer: 2.9, Batch Size 64, Epsilon: 0.1, ID: x1241, penalty: 0.6, loss: 0.21, aantal experiences: 100000
Bezig: 332 sec, ETA: 722 sec, Simulatie: 15750, Validation: 3.6, Cijfer: 4.1, Batch Size 64, Epsilon: 0.09, ID: x444, penalty: 0.4, loss: 0.16, aantal experiences: 100000
Bezig: 337 sec, ETA: 716 sec, Simulatie: 16000, Validation: 3.8, Cijfer: 5.1, Batch Size 64, Epsilon: 0.09, ID: x215b, penalty: 0.2, loss: 0.24, aantal experiences: 100000
Bezig: 342 sec, ETA: 710 sec, Simulatie: 16250, Validation: 3.4, Cijfer: 2.7, Batch Size 64, Epsilon: 0.09, ID: x182, penalty: 0.7, loss: 0.23, aantal experiences: 100000
Bezig: 347 sec, ETA: 705 sec, Simulatie: 16500, Validation: 3.7, Cijfer: 3.3, Batch Size 64, Epsilon: 0.08, ID: x22, penalty: 0.8, loss: 0.17, aantal experiences: 100000
Bezig: 352 sec, ETA: 699 sec, Simulatie: 16750, Validation: 3.1, Cijfer: 3.6, Batch Size 64, Epsilon: 0.08, ID: x481, penalty: 0.7, loss: 0.17, aantal experiences: 100000
Bezig: 357 sec, ETA: 693 sec, Simulatie: 17000, Validation: 3.1, Cijfer: 2.0, Batch Size 64, Epsilon: 0.08, ID: x42, penalty: 0.6, loss: 0.18, aantal experiences: 100000
Bezig: 362 sec, ETA: 688 sec, Simulatie: 17250, Validation: 2.3, Cijfer: 6.0, Batch Size 64, Epsilon: 0.08, ID: x188, penalty: 0.4, loss: 0.15, aantal experiences: 100000
Bezig: 367 sec, ETA: 682 sec, Simulatie: 17500, Validation: 3.3, Cijfer: 4.3, Batch Size 64, Epsilon: 0.07, ID: x1248, penalty: 0.6, loss: 0.2, aantal experiences: 100000
